Date,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,GOOG,GOOG,GOOG,GOOG,GOOG,NVDA,NVDA,NVDA,NVDA,NVDA,AMZN,AMZN,AMZN,AMZN,AMZN
2023-12-26,192.10885620117188,192.94475743470915,191.88992751842636,192.66612369019674,28919300.0,AAPL,,,,,,,,,,,,,,,,,,,,
2023-12-27,192.20835876464844,192.5566585360189,190.15840400250286,191.55158790358445,48087700.0,AAPL,,,,,,,,,,,,,,,,,,,,
2023-12-28,192.6362762451172,193.71101293849657,192.22827139973785,193.1935437488545,34049900.0,AAPL,,,,,,,,,,,,,,,,,,,,
2023-12-29,191.5913848876953,193.452263485871,190.7952819760843,192.9547010641641,42628800.0,AAPL,,,,,,,,,,,,,,,,,,,,
2024-01-02,184.73497009277344,187.52132261231023,182.9935016661129,186.2376030973938,82488700.0,AAPL,,,,,,,,,,,,,,,,,,,,
2024-01-03,183.3517608642578,184.97381929292,182.53575116647167,183.32190833232914,58414500.0,AAPL,,,,,,,,,,,,,,,,,,,,
2024-01-04,181.02316284179688,182.19740286158623,179.99818547387906,181.26198308479132,71983600.0,AAPL,,,,,,,,,,,,,,,,,,,,
2024-01-05,180.2967071533203,181.8690061871609,179.29163655398915,181.10277101042314,62303300.0,AAPL,,,,,,,,,,,,,,,,,,,,
2024-01-08,184.65536499023438,184.6951784875532,180.6151605231867,181.20228054123743,59144500.0,AAPL,,,,,,,,,,,,,,,,,,,,
2024-01-09,184.23741149902344,184.24735728099782,181.83915700040632,183.02335798455337,42841800.0,AAPL,,,,,,,,,,,,,,,,,,,,
2024-01-10,185.28228759765625,185.49125530087693,183.02335006640843,183.4512616231925,46792900.0,AAPL,,,,,,,,,,,,,,,,,,,,
2024-01-11,184.6852264404297,186.13811547472974,182.7248291738061,185.6305920580053,49128400.0,AAPL,,,,,,,,,,,,,,,,,,,,
2024-01-12,185.01361083984375,185.8296205077815,184.2871739488164,185.1529277118819,40444700.0,AAPL,,,,,,,,,,,,,,,,,,,,
2024-01-16,182.73477172851562,183.361690026594,180.04792262326768,181.27193705900044,65603000.0,AAPL,,,,,,,,,,,,,,,,,,,,
